feature,mean_abs_shap_value
ext_source_mean,0.49498326
EXT_SOURCE_3,0.11528973
AMT_GOODS_PRICE,0.10001055
AMT_ANNUITY,0.08716049
ext_source_max,0.084031224
credit_to_goods_ratio,0.07959096
NAME_EDUCATION_TYPE_Higher education,0.071249194
CODE_GENDER_F,0.06848957
ext_source_min,0.06101
DAYS_ID_PUBLISH,0.056380954
CODE_GENDER_M,0.050787713
goods_to_credit_ratio,0.05010061
EXT_SOURCE_1,0.049419414
NAME_FAMILY_STATUS_Married,0.048911568
DAYS_BIRTH,0.047661502
FLAG_OWN_CAR_N,0.04679203
OWN_CAR_AGE,0.04540578
employment_to_age_ratio,0.044975597
employment_years,0.04021434
AMT_CREDIT,0.035060145
FLAG_DOCUMENT_3,0.034200355
DAYS_LAST_PHONE_CHANGE,0.033121534
AMT_REQ_CREDIT_BUREAU_QRT,0.032729212
annuity_to_income_ratio,0.030661002
REGION_RATING_CLIENT_W_CITY,0.029898774
FLAG_WORK_PHONE,0.028487539
age_years,0.027810387
DAYS_EMPLOYED,0.024266805
ext_source_std,0.023746483
REGION_POPULATION_RELATIVE,0.023138305
