feature,feature_value,shap_value,abs_shap_value
ext_source_mean,0.0619184388823457,1.0015832,1.0015832
ext_source_min,0.0578436703801893,0.34513265,0.34513265
EXT_SOURCE_3,0.0659932073845022,0.32157785,0.32157785
credit_to_goods_ratio,1.4224,0.20906825,0.20906825
AMT_GOODS_PRICE,450000.0,0.19189,0.19189
AMT_ANNUITY,31131.0,0.14808375,0.14808375
goods_to_credit_ratio,0.703037120359955,0.11851701,0.11851701
OWN_CAR_AGE,6.0,-0.118027836,0.118027836
ext_source_max,0.0659932073845022,0.11489171,0.11489171
DAYS_BIRTH,-8987.0,-0.069836654,0.069836654
EXT_SOURCE_1,0.5059979305057544,0.06089724,0.06089724
DAYS_REGISTRATION,-208.0,0.05700308,0.05700308
employment_to_age_ratio,0.0260376098809391,0.046938132,0.046938132
age_years,24.621917808219177,-0.045004223,0.045004223
CODE_GENDER_F,0.0,0.043704383,0.043704383
